Student,Race,Homework #1 (252169),Homework #2 (252171),Homework #3 (252172),Homework #4 (252173),Homework #5 (252174),Homework #6 (252175),Homework #7 (252176),Homework #8 (252177),Homework #9 (252178),Homework #10 (252170),Quiz #1 (252122),Quiz #2 (252126),Quiz #3 (252141),Midterm #1 (252158),Midterm #1 Take-Home (252180),Midterm #2 (252131),Midterm #2 Take-Home (252181),Final Exam (252143),Final Exam Written Portion (252168),Journal #1 (252120),Journal #2 (252133),Journal #3 (252130),Journal #4 (252135),Journal #5 (252145),Journal #6 (252165),Journal #7 (252140),Journal #8 (252139),Journal #9 (252128),Journal #10 (252124),Journal #11 (252142),Individual Project Paper + PowerPoint (252179),Homework Final Score,Quizzes Final Score,Midterms Final Score,Final Exam Final Score,Journals Final Score,Project Final Score,Final Score,Final Grade
Student 106,hispanic/latinx,10,10,10,10,10,10,9,10,10,6.5,20,20,20,24,25,23,24,22,19,3,3,3,3,3,3,3,3,3,3,3,100,98.89,100,96,82,100,100,94.08,A
Student 107,hispanic/latinx,10,10,10,10,9.5,10,9,0,0,0,20,13,12.5,22,22.5,20,12,19,20,0,3,0,0,0,0,0,0,3,3,0,95,76.11,82.5,76.5,78,33.33,95,77.09,C+
Student 108,hispanic/latinx,10,10,9.5,10,10,9,10,9,9,8.5,18,17,10.5,24,25,22,21.5,21,16,3,3,3,3,3,3,3,3,3,3,3,95,96.11,87.5,92.5,74,100,95,88.72,B+
Student 109,hispanic/latinx,7.5,8,8.5,7,8,8,8,9,9,5,17,16,15,17,18.25,17,15.25,16,21.5,3,3,3,3,3,3,3,3,3,3,3,100,81.11,82.5,67.5,75,100,100,78.47,C+
Student 110,hispanic/latinx,7.5,9,10,9,0,10,8.5,8,10,9.5,15,17,15,18,21,15,14.25,19,22.5,3,0,3,3,3,3,3,3,3,3,3,100,90.56,80,68.25,83,100,100,82.34,B-
Student 111,hispanic/latinx,9.5,8.5,8.5,8.5,10,9.5,8,8.5,8,7,20,18,19,25,23,23,24.25,20,23,3,3,3,3,3,3,3,3,3,3,3,100,87.78,97.5,95.25,86,100,100,92.38,A-
Student 112,hispanic/latinx,10,10,10,10,10,9.5,10,10,10,8.5,18,16,15,22,24,24,20.5,20,23.5,3,3,3,3,3,3,3,3,3,3,3,100,99.44,85,90.5,87,100,100,92.29,A-
Student 113,caucasian,7,8.5,10,8,8.5,10,8,10,8,5,16,20,18,20,24.25,16,21.25,16,7,3,3,3,3,3,3,3,3,3,3,0,100,86.67,95,81.5,46,100,100,77.78,C+
Student 114,caucasian,9,8.5,10,10,9,9.5,9,8,9,0,19,18.5,17.5,22,22.25,18,23.5,19,17.5,3,3,3,3,3,3,3,3,3,3,0,100,91.11,93.75,85.75,73,100,100,86.57,B
Student 115,caucasian,10,10,10,9,10,10,10,8,9,7,18,17,19,24,25,23,24,21,21.5,3,3,3,3,3,3,3,3,3,3,3,100,95.56,92.5,96,85,100,100,93.41,A
Student 116,caucasian,8,8,8,8.5,8.5,8,7,10,8.5,7,17,19,19,16,24.25,18,24,16,25,3,3,3,3,3,3,3,3,3,3,3,95,82.78,95,82.25,82,100,95,85.73,B
Student 117,asian,8,9,10,8.5,9,10,6.5,9,9,7.5,18,14.5,11,18,19,14,12.5,13,8.5,3,3,3,3,3,3,3,3,3,3,3,100,88.89,81.25,63.5,43,100,100,70.7,C-
Student 118,caucasian,9.5,10,10,9.5,8,10,9,9,8.5,7,18,14,13,18,19,20,25,18,23.5,3,3,3,3,3,3,3,3,3,3,0,100,92.78,80,82,83,100,100,86.91,B
Student 119,hispanic/latinx,9,0,8,0,8.5,8.5,8,8,0,6,17,18,17,17,12.75,14,22.25,16,15,3,0,3,0,3,3,3,0,3,3,3,95,62.22,87.5,66,62,88.89,95,70.44,C-
Student 120,caucasian,9,10,10,9.5,8.5,9.5,9.5,9,9,9,19,20,13.5,18,21.5,18,15.5,16,18.5,3,3,3,2,3,3,3,3,3,3,2,100,93.89,97.5,73,69,100,100,82.68,B-
Student 121,caucasian,8.5,8.5,8.5,9.5,8.5,7,8,9,7.5,6.5,12,12,13,19,17.75,17,14,16,16,3,3,3,3,3,3,3,3,3,3,3,100,83.33,62.5,67.75,64,100,100,74.24,C
Student 122,caucasian,10,9,10,9.5,10,10,9.5,8.5,10,9.5,20,20,14,25,24.75,21,23.25,23,21,3,3,3,3,3,3,3,3,3,3,3,100,97.22,100,94,88,100,100,94.64,A
Student 123,hispanic/latinx,9,9,10,10,9,9,7,9,9,9,20,20,12,16,24.75,21,22.75,17,16.5,3,3,3,0,3,3,3,3,3,3,3,95,92.22,100,84.5,67,100,95,85.04,B
Student 124,caucasian,10,9,10,7,9.5,10,8,9,9,9.5,18,19,13,23,24.75,22,16,21,16,3,3,3,3,3,3,3,3,3,3,0,100,93.33,92.5,85.75,74,100,100,87.14,B+
Student 125,asian,9,8.5,9,10,9.5,10,6.5,9,10,9,20,17.5,17,20,21.5,17,18,19,23.5,3,3,3,3,3,3,3,3,3,3,2,100,93.33,93.75,76.5,85,100,100,87.24,B+
Student 126,caucasian,10,10,10,9,9.5,10,8.5,9,10,8,18,19,18.5,19,22.5,16,22.75,19,22.25,3,3,3,3,3,3,3,3,3,3,3,100,95.56,93.75,80.25,82.5,100,100,88.19,B+
